ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	ENSG00000136527	TRA2B	chr3	+	185644981	185645090	185644120	185644250	185645500	185645620	1	156,142,138	12,18,15	45,52,48	98,105,95	198	99	1.2e-08	5.6e-07	0.85,0.82,0.84	0.32,0.33,0.34	0.507
2	ENSG00000100650	SRSF5	chr14	-	24780150	24780280	24779500	24779650	24780800	24780950	2	120,115,128	25,30,22	88,92,85	18,22,20	186	93	3.4e-06	8.9e-05	0.72,0.68,0.74	0.89,0.87,0.86	-0.163
3	ENSG00000116560	SFPQ	chr1	+	35638200	35638350	35637500	35637680	35638800	35638950	3	98,105,92	45,50,42	142,138,145	15,18,12	210	105	5.6e-07	1.8e-05	0.58,0.57,0.59	0.91,0.88,0.93	-0.327
4	ENSG00000135486	HNRNPA1	chr12	-	54360800	54360950	54360100	54360300	54361400	54361580	4	180,175,168	8,12,10	65,70,62	85,90,82	192	96	8.9e-10	6.2e-08	0.92,0.90,0.91	0.44,0.43,0.43	0.477
5	ENSG00000188529	SRSF10	chr1	+	24299500	24299650	24298800	24298950	24300100	24300250	5	42,48,45	88,92,85	135,140,132	22,25,20	180	90	2.1e-05	4.2e-04	0.33,0.34,0.35	0.86,0.85,0.87	-0.520
6	ENSG00000115310	CLIP1	chr12	+	122760300	122760480	122759600	122759800	122761000	122761180	6	88,92,85	42,45,40	105,110,98	38,42,35	204	102	1.5e-04	2.3e-03	0.57,0.57,0.57	0.64,0.63,0.64	-0.067
7	ENSG00000196924	FLNA	chrX	-	153587200	153587380	153586500	153586700	153587900	153588100	7	145,150,142	18,22,15	52,58,48	72,78,68	216	108	4.5e-09	2.5e-07	0.87,0.86,0.88	0.42,0.43,0.41	0.450
8	ENSG00000105202	FBL	chr19	+	40317800	40317950	40317100	40317300	40318400	40318580	8	72,68,75	55,58,52	125,130,122	28,32,25	198	99	7.8e-06	1.8e-04	0.49,0.47,0.50	0.81,0.80,0.82	-0.323
9	ENSG00000169045	HNRNPH1	chr5	-	179046200	179046380	179045500	179045700	179046900	179047100	9	112,108,115	35,38,32	78,82,75	65,70,62	186	93	3.2e-03	3.1e-02	0.68,0.66,0.69	0.53,0.52,0.54	0.147
10	ENSG00000131051	RBM39	chr20	+	34280500	34280650	34279800	34279950	34281100	34281280	10	95,100,92	48,52,45	110,115,108	42,45,40	192	96	8.5e-02	3.2e-01	0.56,0.56,0.57	0.63,0.63,0.64	-0.070
11	ENSG00000147274	RBMX	chrX	+	135962800	135962950	135962100	135962300	135963400	135963580	11	85,90,82	52,55,48	92,98,88	48,52,45	210	105	1.2e-01	4.0e-01	0.53,0.54,0.54	0.56,0.57,0.56	-0.027
12	ENSG00000100283	CWC27	chr5	-	64158200	64158380	64157500	64157700	64158900	64159100	12	105,110,102	38,42,35	98,102,95	42,45,40	204	102	3.5e-01	6.8e-01	0.64,0.63,0.64	0.60,0.60,0.60	0.037
13	ENSG00000136450	SRSF1	chr17	+	58002800	58002950	58002100	58002300	58003400	58003580	13	78,82,75	62,65,58	85,88,82	58,62,55	198	99	4.2e-01	7.3e-01	0.48,0.48,0.49	0.51,0.50,0.51	-0.023
14	ENSG00000112081	SRSF3	chr6	-	36564200	36564380	36563500	36563700	36564900	36565100	14	92,88,95	45,48,42	88,92,85	48,52,45	186	93	5.8e-01	8.2e-01	0.57,0.56,0.58	0.55,0.55,0.56	0.017
15	ENSG00000124193	SRSF6	chr20	+	42086800	42086950	42086100	42086300	42087400	42087580	15	68,72,65	58,62,55	72,75,68	55,58,52	192	96	6.5e-01	8.8e-01	0.47,0.46,0.47	0.49,0.49,0.49	-0.023
16	ENSG00000161547	SRSF2	chr17	-	76736200	76736380	76735500	76735700	76736900	76737100	16	110,115,108	32,35,28	95,100,92	45,48,42	210	105	7.2e-01	9.1e-01	0.66,0.66,0.68	0.58,0.58,0.59	0.083
17	ENSG00000116754	SRSF11	chr1	+	70644800	70644950	70644100	70644300	70645400	70645580	17	82,85,78	52,55,48	78,82,75	55,58,52	204	102	8.1e-01	9.5e-01	0.52,0.51,0.53	0.50,0.50,0.50	0.020
18	ENSG00000139218	SCAF11	chr12	-	46158200	46158380	46157500	46157700	46158900	46159100	18	135,140,132	15,18,12	48,52,45	82,85,78	198	99	1.5e-08	6.8e-07	0.88,0.87,0.89	0.37,0.38,0.37	0.507
19	ENSG00000102081	FMR1	chrX	+	147911800	147911950	147911100	147911300	147912400	147912580	19	58,62,55	72,75,68	128,132,125	20,22,18	186	93	6.5e-07	1.9e-05	0.39,0.40,0.39	0.84,0.84,0.85	-0.450
20	ENSG00000168496	FEN1	chr11	-	61559200	61559380	61558500	61558700	61559900	61560100	20	125,130,122	22,25,18	55,58,52	78,82,75	192	96	2.3e-07	8.5e-06	0.82,0.81,0.83	0.41,0.40,0.41	0.413
